Home,Away,Winner,Margin,Stadium,Date
Australia,Bangladesh,Australia,48 runs,Nottingham,20-Jun-19
Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton,24-Jun-19
Bangladesh,India,India,28 runs,Birmingham,02-Jul-19
Bangladesh,Pakistan,Pakistan,94 runs,Lord's,05-Jul-19
Sri Lanka,Bangladesh,Sri Lanka,91 runs,Colombo (RPS),26-Jul-19
Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Colombo (RPS),28-Jul-19
Sri Lanka,Bangladesh,Sri Lanka,122 runs,Colombo (RPS),31-Jul-19
Bangladesh,Zimbabwe,Bangladesh,169 runs,Sylhet,01-Mar-20
Bangladesh,Zimbabwe,Bangladesh,4 runs,Sylhet,03-Mar-20
Bangladesh,Zimbabwe,Bangladesh,123 runs,Sylhet,06-Mar-20
Bangladesh,West Indies,Bangladesh,6 wickets,Mirpur,20-Jan-21
Bangladesh,West Indies,Bangladesh,7 wickets,Mirpur,22-Jan-21
Bangladesh,West Indies,Bangladesh,120 runs,Chattogram,25-Jan-21
New Zealand,Bangladesh,New Zealand,8 wickets,Dunedin,20-Mar-21
New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch,23-Mar-21
New Zealand,Bangladesh,New Zealand,164 runs,Wellington,26-Mar-21
Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur,23-May-21
Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur,25-May-21
Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur,28-May-21
Zimbabwe,Bangladesh,Bangladesh,155 runs,Harare,16-Jul-21
Zimbabwe,Bangladesh,Bangladesh,3 wickets,Harare,18-Jul-21
Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,20-Jul-21
